0:15:31,TomaNro= 83,    Disip: ,31.25, ºC     , Peltier: ,18.04, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,510 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:15:38,TomaNro= 84,    Disip: ,31.25, ºC     , Peltier: ,17.17, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,517 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=212,

0:15:44,TomaNro= 85,    Disip: ,31.25, ºC     , Peltier: ,16.62, ºC     , teInsta: ,25.12, ºC     , teAire: ,21.5, ºC     , Corrida: ,523 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:15:50,TomaNro= 86,    Disip: ,31.25, ºC     , Peltier: ,17.31, ºC     , teInsta: ,20.11, ºC     , teAire: ,21.5, ºC     , Corrida: ,529 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:15:56,TomaNro= 87,    Disip: ,31.25, ºC     , Peltier: ,19.06, ºC     , teInsta: ,18.19, ºC     , teAire: ,21.5, ºC     , Corrida: ,535 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=183,

0:16:2,TomaNro= 88,    Disip: ,31.25, ºC     , Peltier: ,20.6, ºC     , teInsta: ,17.46, ºC     , teAire: ,21.5, ºC     , Corrida: ,541 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:16:8,TomaNro= 89,    Disip: ,31.25, ºC     , Peltier: ,20.9, ºC     , teInsta: ,17.15, ºC     , teAire: ,21.5, ºC     , Corrida: ,547 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:16:14,TomaNro= 90,    Disip: ,31.25, ºC     , Peltier: ,20.34, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,553 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:16:20,TomaNro= 91,    Disip: ,31.25, ºC     , Peltier: ,19.54, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,559 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:16:26,TomaNro= 92,    Disip: ,31.25, ºC     , Peltier: ,18.71, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,565 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:16:32,TomaNro= 93,    Disip: ,31.25, ºC     , Peltier: ,17.89, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,571 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:16:39,TomaNro= 94,    Disip: ,31.25, ºC     , Peltier: ,17.04, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,578 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=183,

0:16:45,TomaNro= 95,    Disip: ,31.25, ºC     , Peltier: ,16.54, ºC     , teInsta: ,23.92, ºC     , teAire: ,21.5, ºC     , Corrida: ,584 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:16:51,TomaNro= 96,    Disip: ,31.25, ºC     , Peltier: ,17.29, ºC     , teInsta: ,19.65, ºC     , teAire: ,21.5, ºC     , Corrida: ,590 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:16:58,TomaNro= 97,    Disip: ,31.25, ºC     , Peltier: ,19.03, ºC     , teInsta: ,18.01, ºC     , teAire: ,21.5, ºC     , Corrida: ,597 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,

0:17:4,TomaNro= 98,    Disip: ,31.25, ºC     , Peltier: ,20.04, ºC     , teInsta: ,17.33, ºC     , teAire: ,21.5, ºC     , Corrida: ,603 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:17:10,TomaNro= 99,    Disip: ,31.25, ºC     , Peltier: ,19.94, ºC     , teInsta: ,17.13, ºC     , teAire: ,21.5, ºC     , Corrida: ,609 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:17:16,TomaNro= 100,    Disip: ,31.25, ºC     , Peltier: ,19.27, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,615 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:17:22,TomaNro= 101,    Disip: ,31.25, ºC     , Peltier: ,18.48, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,621 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:17:28,TomaNro= 102,    Disip: ,31.25, ºC     , Peltier: ,17.66, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,627 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:17:34,TomaNro= 103,    Disip: ,31.25, ºC     , Peltier: ,16.84, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,633 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,
0:17:41,TomaNro= 104,    Disip: ,31.25, ºC     , Peltier: ,16.73, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,640 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,

0:17:47,TomaNro= 105,    Disip: ,31.25, ºC     , Peltier: ,17.12, ºC     , teInsta: ,22.02, ºC     , teAire: ,21.5, ºC     , Corrida: ,646 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

