  ,  , Corrida: ,1722 seg ,  ,  , Peltier: ,20.81, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:13,  E: ,COOLINGconPWM=255,   TomaNro= 73,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1732 seg ,  ,  , Peltier: ,20.8, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:23,  E: ,COOLINGconPWM=255,   TomaNro= 74,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1743 seg ,  ,  , Peltier: ,20.81, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:34,  E: ,COOLINGconPWM=255,   TomaNro= 75,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1748 seg ,  ,  , Peltier: ,20.79, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:39,  E: ,COOLINGconPWM=255,   TomaNro= 76,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1753 seg ,  ,  , Peltier: ,20.8, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:44,  E: ,COOLINGconPWM=255,   TomaNro= 77,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1759 seg ,  ,  , Peltier: ,20.79, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:50,  E: ,COOLINGconPWM=255,   TomaNro= 78,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1764 seg ,  ,  , Peltier: ,20.77, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:55,  E: ,COOLINGconPWM=255,   TomaNro= 79,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1769 seg ,  ,  , Peltier: ,20.78, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:39:0,  E: ,COOLINGconPWM=255,   TomaNro= 80,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1780 seg ,  ,  , Peltier: ,20.77, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:39:11,  E: ,COOLINGconPWM=255,   TomaNro= 81,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1785 seg ,  ,  , Peltier: ,20.75, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:39:16,  E: ,COOLINGconPWM=255,   TomaNro= 82,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1790 seg ,  ,  , Peltier: ,20.76, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:39:21,  E: ,COOLINGconPWM=255,   TomaNro= 83,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1801 seg ,  ,  , Peltier: ,20.75, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:39:32,  E: ,COOLINGconPWM=255,   TomaNro= 84,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
