22:49:20,TomaNro= 79,    Disip: ,33.56, ºC     , Peltier: ,23.44, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,486 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:49:26,TomaNro= 80,    Disip: ,33.56, ºC     , Peltier: ,22.47, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,492 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:49:33,TomaNro= 81,    Disip: ,33.56, ºC     , Peltier: ,21.46, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,498 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:49:39,TomaNro= 82,    Disip: ,33.56, ºC     , Peltier: ,20.66, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,505 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:49:45,TomaNro= 83,    Disip: ,33.56, ºC     , Peltier: ,21.87, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,511 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:49:51,TomaNro= 84,    Disip: ,33.56, ºC     , Peltier: ,24.66, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,517 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,BALANCEconPWM=255,
22:49:57,TomaNro= 85,    Disip: ,33.56, ºC     , Peltier: ,26.14, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,523 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:3,TomaNro= 86,    Disip: ,33.56, ºC     , Peltier: ,26.05, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,529 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:9,TomaNro= 87,    Disip: ,33.56, ºC     , Peltier: ,25.31, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,535 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:15,TomaNro= 88,    Disip: ,33.56, ºC     , Peltier: ,24.37, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,541 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:21,TomaNro= 89,    Disip: ,33.56, ºC     , Peltier: ,23.41, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,547 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:27,TomaNro= 90,    Disip: ,33.56, ºC     , Peltier: ,22.44, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,553 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:34,TomaNro= 91,    Disip: ,33.56, ºC     , Peltier: ,21.45, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,560 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:50:40,TomaNro= 92,    Disip: ,33.56, ºC     , Peltier: ,20.65, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,566 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:50:46,TomaNro= 93,    Disip: ,33.56, ºC     , Peltier: ,21.84, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,572 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:50:52,TomaNro= 94,    Disip: ,33.56, ºC     , Peltier: ,24.68, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,578 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:50:58,TomaNro= 95,    Disip: ,33.56, ºC     , Peltier: ,27.46, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,584 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
