17.19, ºC     ,15:58:22,TomaNro= 199,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:23,TomaNro= 200,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:58:24,TomaNro= 201,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:27,TomaNro= 202,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:28,TomaNro= 203,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:29,TomaNro= 204,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:30,TomaNro= 205,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:31,TomaNro= 206,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.37, ºC     ,15:58:31,TomaNro= 207,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:34,TomaNro= 208,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:35,TomaNro= 209,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:36,TomaNro= 210,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:37,TomaNro= 211,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:58:38,TomaNro= 212,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:39,TomaNro= 213,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:40,TomaNro= 214,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:41,TomaNro= 215,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:42,TomaNro= 216,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:43,TomaNro= 217,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.37, ºC     ,15:58:44,TomaNro= 218,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:46,TomaNro= 219,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:47,TomaNro= 220,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:48,TomaNro= 221,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:49,TomaNro= 222,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:51,TomaNro= 223,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.37, ºC     ,15:58:52,TomaNro= 224,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.44, ºC     ,15:58:52,TomaNro= 225,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.37, ºC     ,15:58:55,TomaNro= 226,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:55,TomaNro= 227,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:56,TomaNro= 228,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:57,TomaNro= 229,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:58,TomaNro= 230,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:59,TomaNro= 231,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:59:1,TomaNro= 232,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
