
23:32:17,TomaNro= 64,    Disip: ,27.12, ºC     , Peltier: ,19.23, ºC     , teInsta: ,18.4, ºC     , teAire: ,21.0, ºC     , Corrida: ,415 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=183,
23:32:24,TomaNro= 65,    Disip: ,26.0, ºC     , Peltier: ,20.74, ºC     , teInsta: ,17.39, ºC     , teAire: ,21.0, ºC     , Corrida: ,422 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:32:30,TomaNro= 66,    Disip: ,26.0, ºC     , Peltier: ,20.85, ºC     , teInsta: ,17.15, ºC     , teAire: ,21.0, ºC     , Corrida: ,428 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:32:36,TomaNro= 67,    Disip: ,26.0, ºC     , Peltier: ,20.08, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,434 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:32:42,TomaNro= 68,    Disip: ,26.0, ºC     , Peltier: ,19.12, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,440 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:32:48,TomaNro= 69,    Disip: ,26.0, ºC     , Peltier: ,18.12, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,446 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:32:55,TomaNro= 70,    Disip: ,26.0, ºC     , Peltier: ,17.09, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,452 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=235,
23:33:1,TomaNro= 71,    Disip: ,26.0, ºC     , Peltier: ,16.18, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,459 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,BALANCEconPWM=165,
23:33:7,TomaNro= 72,    Disip: ,26.0, ºC     , Peltier: ,16.05, ºC     , teInsta: ,22.89, ºC     , teAire: ,21.0, ºC     , Corrida: ,465 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:33:13,TomaNro= 73,    Disip: ,26.0, ºC     , Peltier: ,17.07, ºC     , teInsta: ,19.26, ºC     , teAire: ,21.0, ºC     , Corrida: ,471 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:33:20,TomaNro= 74,    Disip: ,26.0, ºC     , Peltier: ,18.83, ºC     , teInsta: ,17.86, ºC     , teAire: ,21.0, ºC     , Corrida: ,478 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=165,
23:33:26,TomaNro= 75,    Disip: ,26.0, ºC     , Peltier: ,20.25, ºC     , teInsta: ,17.33, ºC     , teAire: ,21.0, ºC     , Corrida: ,484 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:33:32,TomaNro= 76,    Disip: ,26.0, ºC     , Peltier: ,20.4, ºC     , teInsta: ,17.13, ºC     , teAire: ,20.75, ºC     , Corrida: ,490 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:33:38,TomaNro= 77,    Disip: ,26.0, ºC     , Peltier: ,19.71, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,496 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:33:44,TomaNro= 78,    Disip: ,26.0, ºC     , Peltier: ,18.81, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,502 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:33:50,TomaNro= 79,    Disip: ,26.0, ºC     , Peltier: ,17.89, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,508 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:33:56,TomaNro= 80,    Disip: ,26.0, ºC     , Peltier: ,16.93, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,514 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=183,
23:34:2,TomaNro= 81,    Disip: ,26.0, ºC     , Peltier: ,16.33, ºC     , teInsta: ,30.12, ºC     , teAire: ,20.75, ºC     , Corrida: ,520 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:34:8,TomaNro= 82,    Disip: ,26.0, ºC     , Peltier: ,17.04, ºC     , teInsta: ,22.02, ºC     , teAire: ,20.75, ºC     , Corrida: ,526 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:34:14,TomaNro= 83,    Disip: ,26.0, ºC     , Peltier: ,18.63, ºC     , teInsta: ,18.92, ºC     , teAire: ,20.75, ºC     , Corrida: ,532 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:34:21,TomaNro= 84,    Disip: ,26.0, ºC     , Peltier: ,20.3, ºC     , teInsta: ,17.74, ºC     , teAire: ,20.75, ºC     , Corrida: ,538 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=183,
23:34:27,TomaNro= 85,    Disip: ,26.0, ºC     , Peltier: ,20.84, ºC     , teInsta: ,17.28, ºC     , teAire: ,20.75, ºC     , Corrida: ,545 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:34:33,TomaNro= 86,    Disip: ,26.0, ºC     , Peltier: ,20.32, ºC     , teInsta: ,17.11, ºC     , teAire: ,20.75, ºC     , Corrida: ,551 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:34:39,TomaNro= 87,    Disip: ,26.0, ºC     , Peltier: ,19.48, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,557 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:34:45,TomaNro= 88,    Disip: ,26.0, ºC     , Peltier: ,18.58, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,563 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:34:51,TomaNro= 89,    Disip: ,26.0, ºC     , Peltier: ,17.68, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,569 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:34:57,TomaNro= 90,    Disip: ,26.0, ºC     , Peltier: ,16.8, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,575 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,BALANCEconPWM=165,
23:35:3,TomaNro= 91,    Disip: ,26.0, ºC     , Peltier: ,16.72, ºC     , teInsta: ,28.18, ºC     , teAire: ,20.75, ºC     , Corrida: ,581 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:35:9,TomaNro= 92,    Disip: ,26.0, ºC     , Peltier: ,17.76, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.75, ºC     , Corrida: ,587 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:35:16,TomaNro= 93,    Disip: ,26.0, ºC     , Peltier: ,19.54, ºC     , teInsta: ,18.64, ºC     , teAire: ,20.75, ºC     , Corrida: ,594 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=183,
23:35:22,TomaNro= 94,    Disip: ,26.0, ºC     , Peltier: ,21.01, ºC     , teInsta: ,17.63, ºC     , teAire: ,20.75, ºC     , Corrida: ,600 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:35:28,TomaNro= 95,    Disip: ,26.0, ºC     , Peltier: ,21.23, ºC     , teInsta: ,17.2, ºC     , teAire: ,20.75, ºC     , Corrida: ,606 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:35:34,TomaNro= 96,    Disip: ,26.0, ºC     , Peltier: ,20.57, ºC     , teInsta: ,17.0, ºC     , teAire: ,20.75, ºC     , Corrida: ,612 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:35:40,TomaNro= 97,    Disip: ,26.0, ºC     , Peltier: ,19.71, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,618 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:35:46,TomaNro= 98,    Disip: ,26.0, ºC     , Peltier: ,18.78, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,624 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:35:52,TomaNro= 99,    Disip: ,26.0, ºC     , Peltier: ,17.88, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,630 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:35:58,TomaNro= 100,    Disip: ,26.0, ºC     , Peltier: ,16.98, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,636 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=183,
23:36:5,TomaNro= 101,    Disip: ,26.0, ºC     , Peltier: ,16.42, ºC     , teInsta: ,26.53, ºC     , teAire: ,21.0, ºC     , Corrida: ,642 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:36:11,TomaNro= 102,    Disip: ,26.0, ºC     , Peltier: ,17.15, ºC     , teInsta: ,20.65, ºC     , teAire: ,21.0, ºC     , Corrida: ,648 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:36:17,TomaNro= 103,    Disip: ,26.0, ºC     , Peltier: ,18.91, ºC     , teInsta: ,18.4, ºC     , teAire: ,21.0, ºC     , Corrida: ,655 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=245,
23:36:23,TomaNro= 104,    Disip: ,26.0, ºC     , Peltier: ,20.6, ºC     , teInsta: ,17.46, ºC     , teAire: ,21.0, ºC     , Corrida: ,661 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
